Time [s],Temperature [°C]
13,21.275
33,21.295
53,21.298
73,21.305
93,21.310
113,21.313
133,21.315
153,21.317
173,21.318
193,21.319
213,21.320
233,21.321
253,21.322
273,21.323
293,21.323
313,21.324
333,21.324
353,21.325
373,21.326
393,21.455
413,21.649
433,21.822
453,21.963
473,22.062
493,22.138
513,22.181
533,22.224
553,22.251
573,22.280
593,22.298
613,22.308
633,22.320
653,22.328
673,22.334
693,22.340
713,22.344
733,22.345
753,22.347
773,22.349
793,22.351
813,22.352
833,22.353
853,22.353
873,22.353
893,22.353
913,22.354
933,22.354
953,22.353
973,22.353
993,22.353
1013,22.353
